# C=20, Q=15
# c0=[3, 2], c1=[2, 1]
a	E1	E2
0.200	1.789552867849e-04	5.487857640262e-05
0.300	2.157894092066e-03	7.491252778109e-04
0.400	1.040451227243e-02	3.948209861457e-03
0.500	3.026548862099e-02	1.231379010988e-02
0.600	6.422728964468e-02	2.766938788814e-02
0.700	1.105906265962e-01	5.000245273206e-02
0.800	1.650715722823e-01	7.781455490644e-02
0.900	2.230482765652e-01	1.090594044756e-01
1.000	2.808797303285e-01	1.418621099854e-01
1.100	3.362175331145e-01	1.748153144538e-01
1.200	3.877987796876e-01	2.069927096225e-01
1.300	4.351095902702e-01	2.378496770384e-01
