# C=20, Q=15
# c0=[10, 7, 4, 2], c1=[7, 6, 3, 1]
a	E1	E2	E3	E4
0.200	9.598361421977e-02	4.685430191734e-02	1.034894806027e-02	3.160270614471e-03
0.300	1.793913537730e-01	9.572993273733e-02	2.539101803678e-02	6.915216371709e-03
0.400	2.664611656324e-01	1.533882780186e-01	4.624384294877e-02	1.239913272208e-02
0.500	3.502943702410e-01	2.151027318041e-01	7.141741434416e-02	1.955537426735e-02
0.600	4.275861678156e-01	2.774847435379e-01	9.946909720988e-02	2.811298641714e-02
0.700	4.971003027446e-01	3.382930632398e-01	1.292129448861e-01	3.772234034277e-02
0.800	5.587187403659e-01	3.961628498875e-01	1.597553364558e-01	4.804868223911e-02
0.900	6.128807943781e-01	4.503505513806e-01	1.904590639630e-01	5.881575500410e-02
1.000	6.602666366872e-01	5.005295360650e-01	2.208876693476e-01	6.981632589541e-02
1.100	7.016266552479e-01	5.466402029904e-01	2.507523292624e-01	8.090596136813e-02
1.200	7.376946778767e-01	5.887859642406e-01	2.798686726948e-01	9.199057820308e-02
1.300	7.691478997644e-01	6.271637746958e-01	3.081243441128e-01	1.030133083215e-01
