3.2
# C = [8]
# B = [0.08, 0.1, 0.12]
a     e1_e    e2_e    e3_e      e1_fh   e2_fh   e3_fh   
0.8   9       8       8         9       9       9       
0.9   9       8       8         10      9       9       
1     9       9       8         11      9       9       
1.1   11      10      9         11      11      10      
1.2   11      10      10        11      11      11      
1.3   11      10      10        13      12      12      
1.4   12      11      11        13      13      13      
1.5   13      12      12        15      13      13      
1.6   13      12      12        15      15      15      
1.7   14      13      13        16      15      15      
