3.3
# C = [3, 5]
# B = [0.2, 0.4, 0.6]
a     e1_e    e2_e    e3_e      e1_fh   e2_fh   e3_fh   
0.8   6       4       2         6       5       3       
0.9   6       4       2         8       5       4       
1     7       4       2         8       5       4       
1.1   7       4       2         8       6       4       
1.2   8       4       2         10      7       4       
1.3   8       5       2         10      7       4       
1.4   8       5       2         10      7       4       
1.5   9       5       2         11      7       6       
1.6   10      6       3         11      8       6       
1.7   11      6       3         12      8       6       
